,Year,COUNTY,OSHPD_ID,Facility Name,Licensed Bed Classification,License Bed Designation,Licensed Bed Day,Discharges,Census Day,Intra Hospital Transfer from Critical Care,available beds,County labels,Facility Label,Beds Required('Predicted')
998,2005-01-01,Imperial,106130699.0,EL CENTRO REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,7300.0,234.0,3342.0,799,4991.0,60,110,4991.0
1012,2005-01-01,Imperial,106130760.0,PIONEERS MEMORIAL HOSPITAL,General Acute Care,Intensive Care,2920.0,155.0,1821.0,427,1681.0,60,397,1680.9999999999995
1026,2005-01-01,Inyo,106141273.0,NORTHERN INYO HOSPITAL,General Acute Care,Intensive Care,2190.0,82.0,333.0,116,2055.0,61,366,2054.999999999998
1054,2005-01-01,Kern,106150706.0,DELANO REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,3650.0,114.0,1955.0,218,2027.0,62,87,2026.9999999999998
1068,2005-01-01,Kern,106150722.0,BAKERSFIELD MEMORIAL HOSPITAL- 34TH STREET,General Acute Care,Intensive Care,2920.0,197.0,5404.0,1039,-1248.0,62,22,-1247.9999999999986
1082,2005-01-01,Kern,106150736.0,KERN MEDICAL CENTER,General Acute Care,Intensive Care,4380.0,133.0,2680.0,489,2322.0,62,256,2321.999999999999
1096,2005-01-01,Kern,106150737.0,KERN VALLEY HEALTHCARE DISTRICT,General Acute Care,Intensive Care,1095.0,8.0,49.0,17,1071.0,62,257,1070.9999999999984
1110,2005-01-01,Kern,106150761.0,MERCY HOSPITAL - BAKERSFIELD,General Acute Care,Intensive Care,4015.0,159.0,3743.0,585,1016.0,62,335,1016.0000000000007
1124,2005-01-01,Kern,106150775.0,GOOD SAMARITAN HOSPITAL-BAKERSFIELD,General Acute Care,Intensive Care,1460.0,89.0,410.0,0,1139.0,62,144,1138.9999999999989
1138,2005-01-01,Kern,106150782.0,RIDGECREST REGIONAL HOSPITAL,General Acute Care,Intensive Care,2920.0,51.0,1050.0,237,2158.0,62,425,2157.9999999999986
1152,2005-01-01,Kern,106150788.0,SAN JOAQUIN COMMUNITY HOSPITAL,General Acute Care,Intensive Care,7665.0,194.0,5164.0,1332,4027.0,62,440,4027.0000000000014
1222,2005-01-01,Kern,106154108.0,MERCY SOUTHWEST HOSPITAL,General Acute Care,Intensive Care,2784.0,138.0,1860.0,306,1368.0,62,345,1367.9999999999995
1250,2005-01-01,Kings,106160725.0,HANFORD COMMUNITY MEDICAL CENTER,General Acute Care,Intensive Care,3650.0,232.0,2835.0,0,1047.0,63,149,1047.0000000000005
1278,2005-01-01,Lake,106171049.0,REDBUD COMMUNITY HOSPITAL,General Acute Care,Intensive Care,1460.0,259.0,371.0,0,1348.0,64,420,1347.9999999999993
1290,2005-01-01,Lake,106171395.0,SUTTER LAKESIDE HOSPITAL,General Acute Care,Intensive Care,2190.0,178.0,1065.0,0,1303.0,64,525,1302.9999999999993
1318,2005-01-01,Los Angeles,106190017.0,ALHAMBRA HOSPITAL,General Acute Care,Intensive Care,2190.0,110.0,1502.0,415,1213.0,65,5,1212.9999999999993
1347,2005-01-01,Los Angeles,106190034.0,ANTELOPE VALLEY HOSPITAL MEDICAL CENTER,General Acute Care,Intensive Care,7665.0,234.0,6646.0,1633,2886.0,65,18,2886.000000000002
1376,2005-01-01,Los Angeles,106190049.0,VISTA SPECIALTY HOSPITAL OF SAN GABRIEL VALLEY,General Acute Care,Intensive Care,2920.0,72.0,2339.0,0,653.0,65,583,652.9999999999998
1404,2005-01-01,Los Angeles,106190053.0,ST. MARY MEDICAL CENTER,General Acute Care,Intensive Care,14235.0,598.0,6122.0,984,9695.0,65,509,9695.000000000002
1418,2005-01-01,Los Angeles,106190066.0,BELLFLOWER MEDICAL CENTER,General Acute Care,Intensive Care,1825.0,255.0,1688.0,0,392.0,65,25,392.0000000000002
1432,2005-01-01,Los Angeles,106190081.0,BEVERLY HOSPITAL,General Acute Care,Intensive Care,4380.0,264.0,3448.0,0,1196.0,65,26,1196.000000000001
1446,2005-01-01,Los Angeles,106190125.0,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,General Acute Care,Intensive Care,7300.0,503.0,5427.0,751,3127.0,65,30,3127.000000000002
1504,2005-01-01,Los Angeles,106190159.0,TRI-CITY REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,4745.0,127.0,1833.0,472,3511.0,65,539,3510.9999999999986
1532,2005-01-01,Los Angeles,106190170.0,CHILDRENS HOSPITAL OF LOS ANGELES,General Acute Care,Intensive Care,16790.0,446.0,13862.0,1586,4960.0,65,52,4960.000000000004
1546,2005-01-01,Los Angeles,106190176.0,HELFORD CLINICAL RESEARCH HOSP AT CITY OF HOPE,General Acute Care,Intensive Care,5298.0,690.0,4007.0,0,1981.0,65,152,1981.0000000000023
1573,2005-01-01,Los Angeles,106190198.0,LOS ANGELES COMMUNITY HOSPITAL,General Acute Care,Intensive Care,2190.0,106.0,1497.0,0,799.0,65,306,798.9999999999997
1587,2005-01-01,Los Angeles,106190200.0,SAN GABRIEL VALLEY MEDICAL CENTER,General Acute Care,Intensive Care,6935.0,295.0,4569.0,1444,4105.0,65,438,4105.0
1601,2005-01-01,Los Angeles,106190230.0,CENTINELA FREEMAN REG MED CTR-MEMORIAL CAMPUS,General Acute Care,Intensive Care,4745.0,217.0,3794.0,253,1421.0,65,42,1421.000000000001
1629,2005-01-01,Los Angeles,106190240.0,LAKEWOOD REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,2920.0,267.0,2542.0,1013,1658.0,65,284,1657.9999999999995
1643,2005-01-01,Los Angeles,106190243.0,DOWNEY REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,2920.0,244.0,2429.0,580,1315.0,65,99,1314.9999999999998
1657,2005-01-01,Los Angeles,106190256.0,EAST LOS ANGELES DOCTORS HOSPITAL,General Acute Care,Intensive Care,1460.0,86.0,1312.0,92,326.0,65,103,325.99999999999943
1671,2005-01-01,Los Angeles,106190280.0,ENCINO-TARZANA REGIONAL MED CTR-ENCINO,General Acute Care,Intensive Care,1825.0,94.0,847.0,0,1072.0,65,114,1071.999999999999
1685,2005-01-01,Los Angeles,106190298.0,FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,General Acute Care,Intensive Care,3285.0,488.0,2758.0,571,1586.0,65,123,1586.000000000001
1699,2005-01-01,Los Angeles,106190307.0,"PACIFIC ALLIANCE MEDICAL CENTER, INC.",General Acute Care,Intensive Care,3285.0,97.0,1988.0,165,1559.0,65,382,1558.9999999999998
1713,2005-01-01,Los Angeles,106190315.0,GARFIELD MEDICAL CENTER,General Acute Care,Intensive Care,5110.0,209.0,3343.0,530,2506.0,65,135,2506.0000000000005
1742,2005-01-01,Los Angeles,106190323.0,GLENDALE ADVENTIST MEDICAL CENTER - WILSON TERRACE,General Acute Care,Intensive Care,3650.0,121.0,3156.0,815,1430.0,65,139,1430.0
1756,2005-01-01,Los Angeles,106190328.0,EAST VALLEY HOSPITAL MEDICAL CENTER,General Acute Care,Intensive Care,1825.0,297.0,1550.0,270,842.0,65,104,841.9999999999999
1770,2005-01-01,Los Angeles,106190380.0,HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD,General Acute Care,Intensive Care,1825.0,108.0,1769.0,0,164.0,65,160,163.9999999999998
1784,2005-01-01,Los Angeles,106190382.0,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,General Acute Care,Intensive Care,10220.0,358.0,5748.0,675,5505.0,65,162,5505.0
1798,2005-01-01,Los Angeles,106190385.0,PROVIDENCE HOLY CROSS MEDICAL CENTER,General Acute Care,Intensive Care,4380.0,324.0,5394.0,0,-690.0,65,407,-689.9999999999977
1812,2005-01-01,Los Angeles,106190392.0,GOOD SAMARITAN HOSPITAL-LOS ANGELES,General Acute Care,Intensive Care,21170.0,388.0,8931.0,2124,14751.0,65,145,14750.999999999998
1826,2005-01-01,Los Angeles,106190400.0,HUNTINGTON MEMORIAL HOSPITAL,General Acute Care,Intensive Care,14600.0,573.0,3334.0,1164,13003.0,65,164,13003.0
1840,2005-01-01,Los Angeles,106190413.0,CITRUS VALLEY MEDICAL CENTER - IC CAMPUS,General Acute Care,Intensive Care,2920.0,155.0,2271.0,605,1409.0,65,57,1408.9999999999995
1854,2005-01-01,Los Angeles,106190422.0,TORRANCE MEMORIAL MEDICAL CENTER,General Acute Care,Intensive Care,8760.0,479.0,7699.0,1439,2979.0,65,537,2979.0000000000027
1868,2005-01-01,Los Angeles,106190429.0,KAISER FND HOSP - SUNSET,General Acute Care,Intensive Care,21900.0,1803.0,15618.0,2032,10117.0,65,209,10117.000000000007
1882,2005-01-01,Los Angeles,106190430.0,KAISER FND HOSP - BELLFLOWER,General Acute Care,Intensive Care,8760.0,275.0,3292.0,1016,6759.0,65,174,6758.999999999998
1896,2005-01-01,Los Angeles,106190431.0,KAISER FND HOSP - HARBOR CITY,General Acute Care,Intensive Care,3650.0,209.0,2600.0,948,2207.0,65,179,2206.9999999999995
1910,2005-01-01,Los Angeles,106190432.0,KAISER FND HOSP - PANORAMA CITY,General Acute Care,Intensive Care,10950.0,319.0,2856.0,1141,9554.0,65,189,9553.999999999998
1924,2005-01-01,Los Angeles,106190434.0,KAISER FND HOSP - WEST LA,General Acute Care,Intensive Care,12410.0,744.0,6033.0,927,8048.0,65,211,8048.000000000002
1938,2005-01-01,Los Angeles,106190449.0,KINDRED HOSPITAL - LA MIRADA,General Acute Care,Intensive Care,2190.0,55.0,1809.0,93,529.0,65,260,528.9999999999993
1952,2005-01-01,Los Angeles,106190458.0,KINDRED HOSPITAL - SAN GABRIEL VALLEY,General Acute Care,Intensive Care,2190.0,58.0,1120.0,137,1265.0,65,269,1264.9999999999989
1981,2005-01-01,Los Angeles,106190468.0,PROMISE HOSPITAL OF EAST LOS ANGELES-EAST L.A. CAMPUS,General Acute Care,Intensive Care,730.0,21.0,395.0,0,356.0,65,403,355.9999999999988
1995,2005-01-01,Los Angeles,106190470.0,LITTLE COMPANY OF MARY HOSPITAL,General Acute Care,Intensive Care,10220.0,587.0,7658.0,907,4056.0,65,288,4056.0000000000027
2009,2005-01-01,Los Angeles,106190475.0,COMMUNITY HOSPITAL OF LONG BEACH,General Acute Care,Intensive Care,7665.0,344.0,2586.0,0,5423.0,65,74,5423.0
2037,2005-01-01,Los Angeles,106190500.0,CENTINELA FREEMAN REG MED CTR-MARINA CAMPUS,General Acute Care,Intensive Care,4380.0,227.0,2728.0,244,2123.0,65,41,2123.0000000000005
2051,2005-01-01,Los Angeles,106190517.0,ENCINO-TARZANA REGIONAL MED CTR-TARZANA,General Acute Care,Intensive Care,6205.0,262.0,4715.0,0,1752.0,65,115,1752.0000000000018
2065,2005-01-01,Los Angeles,106190521.0,MEMORIAL HOSPITAL OF GARDENA,General Acute Care,Intensive Care,1825.0,253.0,3445.0,517,-850.0,65,331,-849.9999999999991
2079,2005-01-01,Los Angeles,106190522.0,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,General Acute Care,Intensive Care,4380.0,375.0,3399.0,660,2016.0,65,141,2016.0000000000005
2093,2005-01-01,Los Angeles,106190524.0,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS,General Acute Care,Intensive Care,1825.0,167.0,1809.0,407,590.0,65,350,589.9999999999998
2107,2005-01-01,Los Angeles,106190525.0,LONG BEACH MEMORIAL MEDICAL CENTER,General Acute Care,Intensive Care,22265.0,2958.0,18918.0,3627,9932.0,65,301,9932.000000000011
2121,2005-01-01,Los Angeles,106190529.0,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,General Acute Care,Intensive Care,3285.0,231.0,3037.0,459,938.0,65,348,938.0000000000003
2135,2005-01-01,Los Angeles,106190534.0,OLYMPIA MEDICAL CENTER,General Acute Care,Intensive Care,2190.0,0.0,0.0,0,2190.0,65,375,2189.999999999998
2149,2005-01-01,Los Angeles,106190547.0,MONTEREY PARK HOSPITAL,General Acute Care,Intensive Care,1460.0,101.0,1213.0,234,582.0,65,357,581.9999999999992
2163,2005-01-01,Los Angeles,106190552.0,MOTION PICTURE AND TELEVISION HOSPITAL,General Acute Care,Intensive Care,1460.0,1010.0,4305.0,0,-1835.0,65,360,-1834.9999999999961
2177,2005-01-01,Los Angeles,106190555.0,CEDARS SINAI MEDICAL CENTER,General Acute Care,Intensive Care,19710.0,1914.0,16910.0,5614,10328.0,65,39,10328.000000000005
2191,2005-01-01,Los Angeles,106190568.0,NORTHRIDGE HOSPITAL MEDICAL CENTER,General Acute Care,Intensive Care,8760.0,441.0,4790.0,669,5080.0,65,367,5080.000000000002
2205,2005-01-01,Los Angeles,106190570.0,NORWALK COMMUNITY HOSPITAL,General Acute Care,Intensive Care,2190.0,194.0,1836.0,0,548.0,65,368,547.9999999999999
2219,2005-01-01,Los Angeles,106190581.0,ORTHOPAEDIC HOSPITAL,General Acute Care,Intensive Care,3096.0,8.0,311.0,164,2957.0,65,380,2956.999999999998
2233,2005-01-01,Los Angeles,106190587.0,PACIFIC HOSPITAL OF LONG BEACH,General Acute Care,Intensive Care,2920.0,100.0,1100.0,0,1920.0,65,383,1919.9999999999993
2247,2005-01-01,Los Angeles,106190599.0,PROMISE HOSPITAL OF EAST LOSANGELES-SUBURBAN CAMPUS,General Acute Care,Intensive Care,2555.0,13.0,78.0,0,2490.0,65,405,2489.999999999998
2262,2005-01-01,Los Angeles,106190630.0,POMONA VALLEY HOSPITAL MEDICAL CENTER,General Acute Care,Intensive Care,13140.0,297.0,5361.0,969,9045.0,65,400,9045.0
2276,2005-01-01,Los Angeles,106190631.0,PRESBYTERIAN INTERCOMMUNITY HOSPITAL,General Acute Care,Intensive Care,8760.0,1919.0,5191.0,0,5488.0,65,401,5488.0000000000055
2291,2005-01-01,Los Angeles,106190636.0,CITRUS VALLEY MEDICAL CENTER - QV CAMPUS,General Acute Care,Intensive Care,7300.0,248.0,3993.0,760,4315.0,65,59,4315.0
2319,2005-01-01,Los Angeles,106190673.0,SAN DIMAS COMMUNITY HOSPITAL,General Acute Care,Intensive Care,1460.0,187.0,1167.0,312,792.0,65,436,791.9999999999994
2333,2005-01-01,Los Angeles,106190680.0,LITTLE COMPANY OF MARY - SAN PEDRO HOSPITAL,General Acute Care,Intensive Care,4380.0,222.0,2335.0,955,3222.0,65,287,3221.999999999999
2360,2005-01-01,Los Angeles,106190687.0,SANTA MONICA - UCLA MEDICAL CENTER,General Acute Care,Intensive Care,8030.0,326.0,4885.0,869,4340.0,65,447,4340.000000000002
2374,2005-01-01,Los Angeles,106190696.0,PACIFICA HOSPITAL OF THE VALLEY,General Acute Care,Intensive Care,2555.0,160.0,1928.0,0,787.0,65,384,786.9999999999999
2388,2005-01-01,Los Angeles,106190708.0,SHERMAN OAKS HOSPITAL AND HEALTH CENTER,General Acute Care,Intensive Care,2920.0,442.0,4825.0,736,-727.0,65,467,-726.9999999999983
2416,2005-01-01,Los Angeles,106190754.0,ST. FRANCIS MEDICAL CENTER,General Acute Care,Intensive Care,13140.0,2702.0,10597.0,0,5245.0,65,494,5245.000000000011
2430,2005-01-01,Los Angeles,106190756.0,ST. JOHNS HOSPITAL AND HEALTH CENTER,General Acute Care,Intensive Care,12775.0,786.0,6233.0,1218,8546.0,65,499,8546.000000000002
2444,2005-01-01,Los Angeles,106190758.0,PROVIDENCE SAINT JOSEPH MEDICAL CENTER,General Acute Care,Intensive Care,13340.0,492.0,8586.0,0,5246.0,65,414,5246.000000000004
2458,2005-01-01,Los Angeles,106190762.0,ST. VINCENT MEDICAL CENTER,General Acute Care,Intensive Care,24455.0,142.0,4812.0,2045,21830.0,65,516,21830.0
2486,2005-01-01,Los Angeles,106190784.0,TEMPLE COMMUNITY HOSPITAL,General Acute Care,Intensive Care,2190.0,40.0,984.0,0,1246.0,65,536,1245.9999999999989
2500,2005-01-01,Los Angeles,106190796.0,UCLA MEDICAL CENTER,General Acute Care,Intensive Care,25550.0,395.0,23628.0,3187,5504.0,65,546,5504.000000000009
2514,2005-01-01,Los Angeles,106190812.0,VALLEY PRESBYTERIAN HOSPITAL,General Acute Care,Intensive Care,10950.0,524.0,5729.0,773,6518.0,65,570,6518.000000000002
2542,2005-01-01,Los Angeles,106190818.0,VERDUGO HILLS HOSPITAL,General Acute Care,Intensive Care,2190.0,143.0,1562.0,330,1101.0,65,575,1100.9999999999993
2556,2005-01-01,Los Angeles,106190854.0,LOS ANGELES METROPOLITAN MEDICAL CENTER,General Acute Care,Intensive Care,1460.0,47.0,683.0,79,903.0,65,310,902.999999999999
2570,2005-01-01,Los Angeles,106190857.0,"DOCTORS HOSPITAL OF WEST COVINA, INC",General Acute Care,Intensive Care,1095.0,0.0,0.0,0,1095.0,65,92,1094.9999999999984
2584,2005-01-01,Los Angeles,106190859.0,WEST HILLS HOSPITAL AND MEDICAL CENTER,General Acute Care,Intensive Care,2920.0,149.0,2194.0,395,1270.0,65,588,1269.9999999999998
2598,2005-01-01,Los Angeles,106190878.0,WHITE MEMORIAL MEDICAL CENTER,General Acute Care,Intensive Care,7300.0,233.0,4745.0,690,3478.0,65,592,3478.0000000000014
2612,2005-01-01,Los Angeles,106190883.0,WHITTIER HOSPITAL MEDICAL CENTER,General Acute Care,Intensive Care,5840.0,538.0,3652.0,0,2726.0,65,593,2726.000000000001
2641,2005-01-01,Los Angeles,106190949.0,HENRY MAYO NEWHALL MEMORIAL HOSPITAL,General Acute Care,Intensive Care,2190.0,157.0,1986.0,581,942.0,65,155,941.9999999999995
2655,2005-01-01,Los Angeles,106191216.0,"USC KENNETH NORRIS, JR. CANCER HOSPITAL",General Acute Care,Intensive Care,4745.0,111.0,3331.0,0,1525.0,65,563,1525.0
2683,2005-01-01,Los Angeles,106191227.0,LOS ANGELES CO HARBOR-UCLA MEDICAL CENTER,General Acute Care,Intensive Care,16060.0,988.0,15366.0,2770,4452.0,65,303,4452.000000000007
2697,2005-01-01,Los Angeles,106191228.0,LOS ANGELES CO USC MEDICAL CENTER,General Acute Care,Intensive Care,29290.0,826.0,17895.0,2932,15153.0,65,305,15153.00000000001
2711,2005-01-01,Los Angeles,106191230.0,LOS ANGELES CO MARTIN LUTHER KING JR/DREW MED CTR,General Acute Care,Intensive Care,19345.0,275.0,7908.0,2222,13934.0,65,304,13933.999999999998
2725,2005-01-01,Los Angeles,106191231.0,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER,General Acute Care,Intensive Care,15330.0,235.0,3249.0,1123,13439.0,65,309,13438.999999999998
2740,2005-01-01,Los Angeles,106191306.0,LAC/RANCHO LOS AMIGOS NATIONAL REHAB CENTER,General Acute Care,Intensive Care,8760.0,69.0,1218.0,83,7694.0,65,283,7693.999999999998
2754,2005-01-01,Los Angeles,106191450.0,KAISER FND HOSP - WOODLAND HILLS,General Acute Care,Intensive Care,4015.0,251.0,2806.0,704,2164.0,65,212,2164.0
2782,2005-01-01,Los Angeles,106194219.0,USC UNIVERSITY HOSPITAL,General Acute Care,Intensive Care,16060.0,535.0,13428.0,4776,7943.0,65,564,7943.000000000004
2796,2005-01-01,Los Angeles,106196035.0,KAISER FND HOSP - BALDWIN PARK,General Acute Care,Intensive Care,4380.0,266.0,3069.0,712,2289.0,65,173,2289.0
2810,2005-01-01,Los Angeles,106196168.0,EARL AND LORRAINE MILLER CHILDRENS HOSPITAL,General Acute Care,Intensive Care,7300.0,393.0,5200.0,1540,4033.0,65,102,4033.000000000001
2852,2005-01-01,Madera,106201281.0,MADERA COMMUNITY HOSPITAL,General Acute Care,Intensive Care,3650.0,468.0,4746.0,0,-628.0,66,317,-627.9999999999973
